"Accepted Currency","Accepted Currency"
"My Gateway","My Gateway"
"Alternative Payments","Alternative Payments"
"Select Option","Select Option"
"Payment Method","Payment Method"
"BankCode","BankCode"
"Account Number","Account Number"
"Routing Number","Routing Number"
"IBAN","IBAN"
"BIC","BIC"
"Proceed to SUBMIT ORDER for payment instructions","Proceed to SUBMIT ORDER for payment instructions"
"Redirect to payment service...","Redirect to payment service..."
"Check Number","Check Number"
"Last 4 digits of social secure number","Last 4 digits of social secure number"
"Credit Card Type","Credit Card Type"
"Credit Card Number","Credit Card Number"
"Expiration Date","Expiration Date"
"Month","Month"
"Year","Year"
"Card Verification Number","Card Verification Number"
"Card Verification Number (CVV2)","Card Verification Number (CVV2)"
"What is this?","What is this?"
"Signature number","Signature number"
"Signature","Signature"
"Signature Number must be number","Signature Number must be number"
"BIC must have 8 or 11 characters","BIC must have 8 or 11 characters"
"German Routing Number should be 8 digits","German Routing Number should be 8 digits"
"Account and Routing Number must be number","Account and Routing Number must be number"
"Routing Number should be 8 digits","Routing Number should be 8 digits"
"Account Number must be number","Account Number must be number"
"Please chose BankType","Please chose BankType"
"letters A-Z","letters A-Z"
"numbers 0-9","numbers 0-9"
"letters A-Z and numbers 0-9","letters A-Z and numbers 0-9"
"Format","Format"
"Bank/Branch Code length","Bank/Branch Code length"
"is not correct for","is not correct for"
"Bank/Branch Code","Bank/Branch Code"
"Account Number length","Account Number length"
"Unknown Country Code","Unknown Country Code"
"IBAN length","IBAN length"
"Checksum of IBAN incorrect","Checksum of IBAN incorrect"
"How Signature box works","How Signature box works"
"Click and hold down the left mouse button inside","Click and hold down the left mouse button inside"
"the signature pad box below and script your name.","the signature pad box below and script your name."
"As part of your rights, you are entitled to a refund from","As part of your rights, you are entitled to a refund from"
"your bank under the terms and conditions of your","your bank under the terms and conditions of your"
"agreement with your bank. A refund must be claimed","agreement with your bank. A refund must be claimed"
"within 8 weeks starting from the date on which","within 8 weeks starting from the date on which"
"your account was debited. Your rights are explained","your account was debited. Your rights are explained"
"in a statement that you can obtain from your bank.","in a statement that you can obtain from your bank."
"Signature number","Signature number"
"Please enter signature number shown","Please enter signature number shown"
"when you confirm the signature above.","when you confirm the signature above."
"IBAN - International Bank Account Number","IBAN - International Bank Account Number"
"Please enter the following information to compose your IBAN","Please enter the following information to compose your IBAN"
"BIC/SWIFT Code - Business Identifier Codes","BIC/SWIFT Code - Business Identifier Codes"
"SWIFT codes are most commonly used for international wire transfers and are ","SWIFT codes are most commonly used for international wire transfers and are"
"comprised of 8 or 11  alphanumeric characters.","comprised of 8 or 11  alphanumeric characters."
"Please contact your bank if you do not know your BIC/SWIFT code.","Please contact your bank if you do not know your BIC/SWIFT code."
"Please have your online bank user id and password ready","Please have your online bank user id and password ready"
"Please enter the 4 digits of your Card Verification Number (CVV2)","Please enter the 4 digits of your Card Verification Number (CVV2)"
"Please enter the 3 digits of your Card Verification Number (CVV2)","Please enter the 3 digits of your Card Verification Number (CVV2)"
"Please enter the last 4 digits of your Social Security Number","Please enter the last 4 digits of your Social Security Number"
"BIC/SWIFT must have 8 or 11 characters","BIC/SWIFT must have 8 or 11 characters"
"Signature number must have 8 digits","Signature number must have 8 digits"
"Phone Verification Number should be 8 digits","Phone Verification Number should be 8 digits"
"Phone Verification - Description","Phone Verification - Description"
"To get phone verification number, enter your phone number, choose your method, and click "Continue" button","To get phone verification number, enter your phone number, choose your method, and click "Continue" button"
"You will receive a call or text message from our system telling you the PIN number","You will receive a call or text message from our system telling you the PIN number"
"Phone verification number is shown after your phone number is verified","Phone verification number is shown after your phone number is verified"
"Enter the phone verification number as shown","Enter the phone verification number as shown"
"How phone verfication works","How phone verfication works"



